"","setup.neworder","setup","n","p","sigma","spar","plugin.rmse","minimax.rmse","minimax.plus.rmse","oracle.rmse","plugin.bias","minimax.bias","minimax.plus.bias","oracle.bias","plugin.covg","minimax.covg","minimax.plus.covg","oracle.covg","plugin.rlin","minimax.rlin","minimax.plus.rlin","oracle.rlin","plugin.blin","minimax.blin","minimax.plus.blin","oracle.blin"
"1","1","1","600","6","1","3","0.14","0.15","0.14","0.16","0.03","0.02","0.00","0.00","0.94","0.94","0.94","0.76","0.96","0.20","0.24","0.26","0.94","0.13","0.19","0.06"
"2","1","1","600","6","1","4","0.16","0.15","0.15","0.18","0.04","0.02","0.01","0.00","0.88","0.92","0.94","0.81","0.98","0.21","0.28","0.27","0.96","0.15","0.24","0.05"
"3","1","1","600","12","1","3","0.20","0.15","0.16","0.17","0.12","0.03","0.08","0.05","0.80","0.95","0.93","0.78","1.00","0.24","0.42","0.26","0.98","0.20","0.40","0.08"
"4","1","1","600","12","1","4","0.24","0.16","0.18","0.20","0.17","0.04","0.11","0.07","0.69","0.91","0.86","0.76","1.02","0.29","0.49","0.26","1.00","0.25","0.47","0.10"
"5","1","1","1200","6","1","3","0.10","0.11","0.09","0.10","0.04","0.06","0.02","0.01","0.96","0.91","0.97","0.84","0.86","0.16","0.16","0.19","0.84","0.13","0.13","0.06"
"6","1","1","1200","6","1","4","0.09","0.10","0.09","0.10","0.03","0.04","0.01","0.01","0.96","0.94","0.98","0.82","0.84","0.15","0.18","0.20","0.83","0.12","0.16","0.07"
"7","1","1","1200","12","1","3","0.11","0.10","0.10","0.12","0.02","0.01","0.03","0.01","0.91","0.94","0.96","0.83","0.86","0.15","0.26","0.17","0.84","0.12","0.25","0.07"
"8","1","1","1200","12","1","4","0.13","0.10","0.11","0.12","0.05","0.00","0.05","0.03","0.87","0.96","0.93","0.79","0.85","0.16","0.31","0.20","0.84","0.13","0.29","0.09"
"9","2","2","600","6","1","1","0.15","0.11","0.08","0.09","0.12","0.09","0.02","0.00","0.52","0.74","0.94","0.92","0.32","0.12","0.08","0.10","0.31","0.10","0.04","0.00"
"10","2","2","600","6","1","2","0.23","0.21","0.09","0.10","0.22","0.20","0.07","0.00","0.08","0.04","0.85","0.94","0.44","0.26","0.13","0.10","0.43","0.25","0.11","0.01"
"11","2","2","600","12","1","1","0.16","0.12","0.08","0.08","0.14","0.11","0.03","0.00","0.44","0.62","0.93","0.98","0.36","0.13","0.09","0.10","0.35","0.12","0.06","0.00"
"12","2","2","600","12","1","2","0.27","0.25","0.11","0.10","0.26","0.24","0.09","0.01","0.02","0.00","0.76","0.95","0.48","0.35","0.14","0.11","0.47","0.34","0.13","0.00"
"13","2","2","1200","6","1","1","0.12","0.09","0.05","0.06","0.11","0.08","0.01","-0.00","0.30","0.52","0.95","0.96","0.26","0.10","0.05","0.07","0.25","0.09","0.02","-0.00"
"14","2","2","1200","6","1","2","0.20","0.20","0.06","0.06","0.20","0.19","0.04","-0.00","0.00","0.00","0.90","0.96","0.36","0.23","0.07","0.07","0.35","0.23","0.05","-0.01"
"15","2","2","1200","12","1","1","0.12","0.10","0.05","0.06","0.11","0.09","0.01","-0.00","0.31","0.48","0.96","0.98","0.29","0.11","0.06","0.06","0.29","0.10","0.03","-0.00"
"16","2","2","1200","12","1","2","0.22","0.21","0.07","0.07","0.22","0.20","0.04","0.00","0.00","0.00","0.86","0.94","0.42","0.29","0.08","0.08","0.42","0.28","0.06","0.00"
"17","3","3","600","6","1","3","0.23","0.14","0.11","0.08","0.23","0.13","0.09","-0.00","0.04","0.44","0.72","0.96","0.39","0.18","0.15","0.19","0.37","0.16","0.13","-0.01"
"18","3","3","600","6","1","4","0.20","0.13","0.10","0.07","0.20","0.11","0.09","-0.00","0.12","0.54","0.72","0.96","0.33","0.16","0.13","0.20","0.32","0.15","0.11","0.02"
"19","3","3","600","12","1","3","0.25","0.21","0.12","0.08","0.24","0.20","0.10","-0.01","0.03","0.10","0.70","0.95","0.38","0.27","0.17","0.15","0.37","0.27","0.15","-0.02"
"20","3","3","600","12","1","4","0.21","0.18","0.11","0.08","0.20","0.17","0.10","-0.01","0.09","0.16","0.72","0.94","0.33","0.25","0.15","0.15","0.32","0.24","0.14","-0.01"
"21","3","3","1200","6","1","3","0.20","0.10","0.07","0.05","0.19","0.09","0.05","-0.01","0.01","0.55","0.78","0.97","0.37","0.13","0.09","0.12","0.36","0.12","0.08","0.00"
"22","3","3","1200","6","1","4","0.18","0.08","0.06","0.05","0.18","0.07","0.05","-0.01","0.01","0.68","0.85","0.96","0.30","0.11","0.08","0.13","0.30","0.10","0.07","-0.02"
"23","3","3","1200","12","1","3","0.23","0.16","0.08","0.05","0.22","0.15","0.07","-0.00","0.00","0.02","0.76","0.96","0.37","0.21","0.13","0.10","0.37","0.20","0.12","0.01"
"24","3","3","1200","12","1","4","0.19","0.14","0.08","0.05","0.19","0.14","0.07","0.00","0.00","0.13","0.70","0.94","0.32","0.19","0.12","0.11","0.31","0.19","0.11","-0.00"
"25","4","4","600","6","1","4","0.22","0.16","0.11","0.16","0.16","-0.03","-0.02","0.03","0.84","0.94","1.00","0.94","0.53","0.16","0.11","0.17","0.51","-0.05","-0.02","0.03"
"26","4","4","600","6","1","5","0.20","0.15","0.11","0.15","0.14","-0.05","-0.02","0.00","0.88","0.93","1.00","0.93","0.52","0.16","0.11","0.16","0.49","-0.07","-0.01","0.01"
"27","4","4","600","12","1","4","0.23","0.18","0.14","0.17","0.15","-0.09","-0.04","-0.01","0.86","0.88","0.96","0.91","0.53","0.18","0.13","0.17","0.50","-0.09","-0.00","-0.01"
"28","4","4","600","12","1","5","0.24","0.19","0.13","0.17","0.17","-0.09","-0.05","-0.01","0.82","0.89","0.97","0.94","0.52","0.19","0.12","0.17","0.49","-0.09","0.00","-0.01"
"29","4","4","1200","6","1","4","0.13","0.10","0.07","0.10","0.09","-0.03","-0.01","0.00","0.90","0.94","1.00","0.96","0.46","0.11","0.08","0.12","0.44","-0.06","-0.02","0.01"
"30","4","4","1200","6","1","5","0.14","0.11","0.08","0.11","0.08","-0.05","-0.01","0.00","0.91","0.94","1.00","0.94","0.46","0.12","0.08","0.12","0.44","-0.07","-0.02","-0.00"
"31","4","4","1200","12","1","4","0.14","0.13","0.08","0.11","0.08","-0.07","-0.02","-0.00","0.88","0.88","0.98","0.94","0.47","0.15","0.08","0.11","0.45","-0.10","-0.02","-0.00"
"32","4","4","1200","12","1","5","0.14","0.13","0.08","0.11","0.09","-0.07","-0.02","-0.00","0.87","0.90","1.00","0.96","0.45","0.14","0.07","0.11","0.44","-0.10","-0.01","-0.00"
